-Infinity,NaN
-7.883981634,-0.0300225
-7.853981634,3.39E-08
-7.823981634,3.00225E-02
-6.313185307,1110.944924
-6.283185307,1.94E+16
-6.253185307,1110.94386
-5.72725,3.0498553
-5.69725,2.7247687
-5.66725,2.4455485
-5.497787144,1.4142134
-4.71538898,0.0300225
-4.71238898,0
-4.68238898,-0.0300225
-3.926990817,-1.4142141
-3.78974,-2.1873174
-3.75974,-2.4265346
-3.72974,-2.7027288
-3.171592654,-1110.940954
-3.141592654,-4.64E+14
-3.111592654,-1110.94783
-2.3737,-1.4909408
-2.35619449,-1.4142141
-2.3437,-1.3623925
-2.3137,-1.2470046
-1.720796327,-0.1528515
-1.600796327,-0.0300225
-1.570796327,0
-1.540796327,0.0300225
-1.420796327,0.1528516
-0.785398163,1.4142147
-0.71763,1.7421327
-0.68763,1.9181964
-0.65763,2.1183227
-0.03,1110.944392
0.0,1.0
0.03,1110.944392
Infinity,NaN
