-Infinity,NaN
-6.31318,-33.3683508
-6.28318,188423.9988
-6.25318,33.3683349
-5.75166,2.5609428
-5.72725,2.5161812
-5.72166,2.5070886
-5.69725,2.4720719
-5.69166,2.4650778
-5.68438,2.456516
-5.66725,2.4387261
-5.65438,2.4274492
-5.62438,2.4077186
-5.59786,2.3974735
-5.56786,2.3935395
-5.53786,2.3973701
-4.74238,34.3237611
-4.71238,-111352.8044
-4.68238,-32.3229044
-4.28117,-1.072686
-4.25117,-0.8955212
-4.22117,-0.7352189
-4.07615,-0.1104422
-4.04615,0
-4.01615,0.1069948
-3.88359,0.5630531
-3.85359,0.6675722
-3.82359,0.774463
-3.78974,0.8991379
-3.75974,1.0144313
-3.72974,1.1355086
-3.17159,33.3082732
-3.14159,-376847.9976
-3.11159,-33.3083765
-2.3737,-0.4740465
-2.3437,-0.3715634
-2.3137,-0.2689427
-2.26704,-0.1070113
-2.23704,0
-2.20704,0.1104246
-2.06202,0.735195
-2.03202,0.8954949
-2.00202,1.0726568
-1.60079,32.3229123
-1.57079,-158058.9134
-1.54079,-34.3237531
-0.85593,-2.4762256
-0.82593,-2.4447502
-0.79593,-2.4208403
-0.74533,-2.3973713
-0.71763,-2.3935623
-0.71533,-2.393595
-0.68763,-2.3968883
-0.68533,-2.3974723
-0.658818,-2.4077121
-0.65763,-2.4083253
-0.628818,-2.427439
-0.598818,-2.4565016
-0.03,-33.3683429
0,-10000
0.03,33.3683429
Infinity,NaN
