-Infinity,NaN
-6.31318,-32.3978962
-6.28318,188424.9988
-6.25318,34.3987806
-5.75166,4.2278373
-5.72725,4.2212108
-5.72166,4.2209797
-5.69725,4.2252497
-5.69166,4.2273927
-5.66725,4.241588
-4.74238,68.6616232
-4.71238,-222705.6088
-4.68238,-64.66171
-3.88359,-0.117816
-3.85359,0
-3.82359,0.1166714
-3.78974,0.2484637
-3.75974,0.3668938
-3.72974,0.4883628
-3.17159,32.3378186
-3.14159,-376848.9976
-3.11159,-34.3388221
-2.3737,-2.5587608
-2.3437,-2.5196694
-2.3137,-2.4838012
-1.600796327,-2.0150013
-1.570796327,-2
-1.540796327,-1.9849991
-0.71763,-1.7237879
-0.68763,-1.7375203
-0.65763,-1.7560534
-0.03,-32.3978882
0,-999
0.03,34.3987885
0.85593,-1.7058918
0.82593,-1.7047273
0.79593,-1.7060086
Infinity,NaN
