-Infinity,NaN
-7.883981634,-1.3506909E-05
-7.853981634,0
-7.823981634,1.3511326E-05
-6.313185307,1077.621583
-6.283185307,1.94E+16
-6.253185307,1144.267185
-5.72725,4.6593798
-5.69725,4.2315083
-5.66725,3.8583961
-5.497787144,2.4142133
-4.74238898,0.0600316
-4.71238898,0
-4.68238898,-0.0600315
-3.926990817,-2.4142138
-3.78974,-3.5078239
-3.75974,-3.8327753
-3.72974,-4.2022585
-3.171592654,-1144.264235
-3.141592654,-4.64E+14
-3.111592654,-1077.624445
-2.3737,-0.4553023
-2.35619449,-0.4142135
-2.3437,-0.3870744
-2.3137,-0.3285763
-1.720796327,-0.0017164
-1.600796327,-0.000013509081
-1.570796327,0
-1.540796327,0.000013509154
-1.420796327,0.0017164
-0.785398163,0.4142136
-0.71763,0.5965044
-0.68763,0.7007027
-0.65763,0.8235131
-0.03,1077.621059
0,999
0.03,1144.267725
Infinity,NaN
