-Infinity,NaN
-7.883981634,33.3083761
-7.853981634,43320540
-7.823981634,33.3083006
-7.068583471,0.7071068
-6.333185307,0.002501
-6.313185307,0.000900135
-6.283185307,0
-6.253185307,0.000900135
-6.233185307,0.002501
-5.72725,0.3278844
-5.69725,0.3670036
-5.66725,0.4089062
-5.497787144,0.7071067
-4.71538898,33.3083165
-4.71238898,100000001
-4.68238898,-33.3083602
-3.926990817,-0.7071069
-3.78974,-0.457181
-3.75974,-0.4121103
-3.72974,-0.3699964
-3.191592654,-0.002501
-3.171592654,-0.000900138
-3.141592654,0
-3.111592654,-0.0009001323
-3.091592654,-0.002501
-2.3737,-0.6707174
-2.35619449,-0.7071067
-2.3437,-0.7340029
-2.3137,-0.8019217
-1.720796327,-6.5422955
-1.600796327,-33.3083682
-1.570796327,37320540
-1.540796327,33.3083086
-1.420796327,6.5422931
-0.785398163,0.7071069
-0.71763,0.5740091
-0.68763,0.5213231
-0.65763,0.4720716
-0.03,0.000900135
0,0
0.03,0.000900135
Infinity,NaN
