-Infinity,NaN
-6.31318,-33.3533362
-6.28318,188423.9988
-6.25318,33.3533203
-5.75166,2.2076222
-5.72725,2.1372625
-5.72166,2.1221099
-5.69725,2.0597185
-5.69166,2.0462392
-5.68438,2.0291058
-5.66725,1.9905699
-5.65438,1.9631529
-5.62438,1.9038412
-5.59786,1.8561556
-5.56786,1.8068349
-5.53786,1.7617489
-4.74238,1.0295503
-4.71238,0.999991
-4.68238,0.9695318
-4.28117,0.4483597
-4.25117,0.3985428
-4.22117,0.3468036
-4.07615,0.0656219
-4.04615,0
-4.01615,-0.0686197
-3.88359,-0.4150379
-3.85359,-0.5053912
-3.82359,-0.6012274
-3.78974,-0.716796
-3.75974,-0.8267144
-3.72974,-0.9447091
-3.17159,-33.2932856
-3.14159,-376847.9976
-3.11159,33.2933889
-2.3737,0.3410177
-2.3437,0.2594318
-2.3137,0.1819207
-2.26704,0.0686307
-2.23704,0
-2.20704,-0.0656119
-2.06202,-0.3467953
-2.03202,-0.3985348
-2.00202,-0.448352
-1.60079,-0.9695476
-1.57079,-1.0000063
-1.54079,-1.0295652
-0.85593,-1.6232067
-0.82593,-1.6572315
-0.79593,-1.6936697
-0.74533,-1.7617422
-0.71763,-1.8032293
-0.71533,-1.8068276
-0.68763,-1.8522013
-0.68533,-1.8561476
-0.658818,-1.9038174
-0.65763,-1.9060524
-0.628818,-1.9631265
-0.598818,-2.0290763
-0.03,-33.3533282
0,-10000
0.03,33.3533282
Infinity,NaN
